,score,year,logger,time_stamp
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-17-14/20140319_001800.wav,594.4425778993538,2014,6a,175.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-17-14/20140317_221700.wav,575.6801410253136,2014,6a,289.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-17-14/20140318_221800.wav,494.8183663193022,2014,6a,213.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-17-14/20140318_211800.wav,458.5990843304484,2014,6a,107.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-17-14/20140317_211700.wav,451.9066856265532,2014,6a,199.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-17-14/20140320_001900.wav,446.5584712305026,2014,6a,199.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-17-14/20140318_201800.wav,442.8982057317182,2014,6a,135.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-17-14/20140317_231700.wav,440.26652441443537,2014,6a,283.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-17-14/20140319_231900.wav,437.9315212426044,2014,6a,127.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-10-14/20140314_001500.wav,421.02973702434025,2014,6a,292.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-17-14/20140318_191800.wav,420.1153145141277,2014,6a,37.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-17-14/20140318_231800.wav,370.28298388326215,2014,6a,131.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-17-14/20140319_221900.wav,364.4574410206196,2014,6a,73.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-10-14/20140313_231500.wav,355.58763613160306,2014,6a,196.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-17-14/20140317_201700.wav,354.89569910720843,2014,6a,171.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-10-14/20140313_191500.wav,345.93416680383905,2014,6a,134.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-17-14/20140321_001900.wav,330.75957698635494,2014,6a,276.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-10-14/20140311_001300.wav,330.7071049751898,2014,6a,136.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-10-14/20140310_221300.wav,326.5486105795805,2014,6a,262.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-17-14/20140318_001700.wav,309.2952330025118,2014,6a,265.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-10-14/20140310_231300.wav,299.3960177192277,2014,6a,62.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-10-14/20140311_221300.wav,291.1632440440392,2014,6a,42.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/5-15-14/20140518_235900.wav,271.0783860845375,2014,6a,242.0
